symbol,type,order_type,entry_price,average_price,exit_price,volume,quantity,pnl,pnl_percent,entry_time,exit_time,reason,dca_orders_count,total_orders,duration_hours,profit_loss,cumulative_pnl,trade_number
XRPUSDT:USDT,long,long,3.1259,3.0787605500793576,3.0238,350.52524324212436,350.5252,-19.689,-1.8244,2025-07-25T10:00:00,2025-07-25T14:30:00,margin_call_warning,2,3,4.5,Loss,185.2831388042218,112
XRPUSDT:USDT,long,long,3.0049,3.0049,3.0362,53.24636427168957,53.2464,1.6019,1.0012,2025-07-25T14:45:00,2025-07-25T15:45:00,take_profit,0,1,1.0,Profit,186.885083361445,113
XRPUSDT:USDT,long,long,3.0395,3.0395,3.073,52.64023688106597,52.6402,1.6987,1.0617,2025-07-25T16:00:00,2025-07-25T18:30:00,take_profit,0,1,2.5,Profit,188.5838259177865,114
XRPUSDT:USDT,long,long,3.0702,3.0702,3.108,52.11386880333529,52.1139,1.9051,1.1907,2025-07-25T18:45:00,2025-07-25T20:15:00,take_profit,0,1,1.5,Profit,190.48894219685627,115
XRPUSDT:USDT,long,long,3.1236,3.1236,3.1561,51.22294788065053,51.2229,1.6001,1.0,2025-07-25T20:30:00,2025-07-26T04:30:00,take_profit,0,1,8.0,Profit,192.08902210465496,116
XRPUSDT:USDT,long,long,3.1486,3.1486,3.1833,50.81623578733405,50.8162,1.6986,1.0616,2025-07-26T04:45:00,2025-07-26T09:00:00,take_profit,0,1,4.25,Profit,193.78764015712272,117
XRPUSDT:USDT,long,long,3.1795,3.1795,3.215,50.32237773234785,50.3224,1.7217,1.0761,2025-07-26T09:15:00,2025-07-27T05:00:00,take_profit,0,1,19.75,Profit,195.50936998885726,118
XRPUSDT:USDT,long,long,3.2315,3.1954550740853747,3.2291,334.8295135580469,334.8295,10.8328,1.0125,2025-07-27T05:15:00,2025-07-27T20:15:00,take_profit,1,2,15.0,Profit,206.3422049736556,119
XRPUSDT:USDT,long,long,3.2122,3.2122,3.2467,49.81009899757176,49.8101,1.6538,1.0336,2025-07-27T20:30:00,2025-07-27T22:00:00,take_profit,0,1,1.5,Profit,207.99596600970568,120
XRPUSDT:USDT,long,long,3.2433,3.2433,3.2861,49.332470015108065,49.3325,2.0466,1.2791,2025-07-27T22:15:00,2025-07-28T00:15:00,take_profit,0,1,2.0,Profit,210.04255115446563,121
XRPUSDT:USDT,long,long,3.2644,3.2644,3.3062,49.01360127435363,49.0136,1.9839,1.24,2025-07-28T00:30:00,2025-07-28T05:30:00,take_profit,0,1,5.0,Profit,212.02650018032028,122
XRPUSDT:USDT,long,long,3.3201,3.2767841266903535,3.2252,330.88542532691343,330.8854,-17.4953,-1.6136,2025-07-28T05:45:00,2025-07-28T11:15:00,margin_call_warning,2,3,5.5,Loss,194.53119581075958,123
XRPUSDT:USDT,long,long,3.2395,3.1962080508719133,3.1345,334.17849905015714,334.1785,-21.0405,-1.9699,2025-07-28T11:30:00,2025-07-28T18:15:00,margin_call_warning,3,4,6.75,Loss,173.4906989889638,124
XRPUSDT:USDT,long,long,3.1471,3.100195679530789,3.1342,338.2957570820971,338.2958,11.0794,1.0564,2025-07-28T18:30:00,2025-07-29T01:15:00,take_profit,1,2,6.75,Profit,184.57010170141913,125
XRPUSDT:USDT,long,long,3.1293,3.1293,3.1606,51.12964560764388,51.1296,1.5357,0.9598,2025-07-29T01:30:00,2025-07-29T06:30:00,take_profit,0,1,5.0,Profit,186.10581946577537,126
